Countrycode;AirQualityStation;AirQualityStationEoICode;AirPollutant;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification
DE;STA.DE_DEBB007;DEBB007;O3;hour;53.77;µg/m3;2013-01-10 15:00:00 +01:00;2013-01-10 16:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;54.98;µg/m3;2013-01-10 16:00:00 +01:00;2013-01-10 17:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;56.6;µg/m3;2013-01-10 17:00:00 +01:00;2013-01-10 18:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;46.69;µg/m3;2013-01-10 18:00:00 +01:00;2013-01-10 19:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;45.48;µg/m3;2013-01-10 19:00:00 +01:00;2013-01-10 20:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;45.41;µg/m3;2013-01-10 20:00:00 +01:00;2013-01-10 21:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;47.09;µg/m3;2013-01-10 21:00:00 +01:00;2013-01-10 22:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;48.78;µg/m3;2013-01-10 22:00:00 +01:00;2013-01-10 23:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;60.84;µg/m3;2013-01-10 23:00:00 +01:00;2013-01-11 00:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;63.6;µg/m3;2013-01-11 00:00:00 +01:00;2013-01-11 01:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;63.66;µg/m3;2013-01-11 01:00:00 +01:00;2013-01-11 02:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;66.93;µg/m3;2013-01-11 03:00:00 +01:00;2013-01-11 04:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;63.39;µg/m3;2013-01-11 04:00:00 +01:00;2013-01-11 05:00:00 +01:00;1;1
