N	MeanD	Volume
1029	0.8815938	3028512
1030	0.854301798	3121418
1031	1.102671648	2151626
1032	1.285081023	2326232
1033	1.110358507	2825953
1034	1.004675876	2763594
1035	1.305714939	2078854
1036	1.35332696	1741469
1037	1.517976694	1671445
1038	1.326025934	1908859
1039	0.748005239	3521265
1040	0.669958399	4401063
1041	0.995084912	2709090
1042	1.195466612	2112708
1043	1.079490599	2246235
1044	1.209543032	2204852
1045	1.335944785	1857396
1046	2.417952161	926006
1047	1.377184206	1927017
1048	1.358747668	1985659
1049	1.170118796	2280281
1050	1.143649534	2615475
1051	1.471626131	1732013
1052	1.19916	2171661
1053	1.398015436	1790012
1054	0.74423546	3433688
1055	0.840162105	3599985
1056	0.920704577	3106883
1057	1.016232095	2360290
1058	1.182686268	2283076
1059	1.311904235	1779173
1060	1.309450865	1826128
1061	1.58707423	1505416
1062	1.707224848	1492432
1063	1.541623597	1491937
1064	1.89891049	1243994
1065	1.545121806	1636024
1066	1.730902947	1183112
1067	1.447995053	1651747
1068	1.107821128	2194221
1069	1.570275776	1595618
1070	1.13696181	4340844
1071	1.192530461	1950657
1072	1.603348529	1470907
1073	1.221525871	1895720
1074	1.258534855	2087732
1075	1.00572309	2580308
1076	1.415349189	1534387
1077	1.372363915	1678776
1078	1.418341683	1685028
1079	1.63716595	1569405
1080	1.161015836	2091905
1081	1.380436243	1768244
1082	0.865118134	2706147
1083	1.08193949	2274947
1084	1.692143799	1346258
1085	1.729809746	1314432
1086	1.62601347	1591498
1087	1.724143956	1437333
1088	0.939784142	4037260
1089	1.25662874	1942602
1090	1.444570771	1750307
1091	1.123704842	2292089
1092	0.744799437	3518860
1093	0.982663588	2426209
1094	1.31535357	2090349
1095	0.814158545	3362312
1096	0.389238144	7533827
1097	0.829209269	3043311
1098	0.772984134	3400213
1099	1.34118866	1798055
1100	0.392291262	10252639
1101	0.238302673	15820930
1102	0.412949686	7327174
1103	0.286216682	8615668
1104	0.358702096	7443720
1105	0.67336478	3734365
1106	0.594587815	4494103
1107	0.912769621	2578496
1108	0.649249688	3659197
1109	0.435096708	5058071
1110	0.840828191	2912383
1111	0.715888402	3694955
1112	0.445431741	4880161
1113	0.517707631	4426420
1114	1.260663872	1614248
1115	0.672071033	3391900
1116	0.780119146	2848137
1117	0.679874966	3386967
1118	1.201827496	1754243
1119	3.418985506	583563
1120	1.092253337	2135889
1121	1.22451445	1823861
1122	1.097801582	2269592
1123	0.870527485	2671838
1124	1.145149002	1953115
1125	0.968391214	2460091
1126	1.142026142	2356757
1127	1.247760146	1892600
1128	1.141193664	2173537
1129	1.405831448	1650318
1130	1.048178159	2443048
1131	1.075520535	2041629
1132	1.156880231	1940119
1133	1.109817911	3970812
1134	1.564306809	1465151
1135	1.418858247	1529570
1136	1.353657333	1888164
1137	1.306906569	1467085
1138	1.343106391	1511141
1139	1.870900974	1176596
1140	1.322127343	1847254
1141	1.392038707	1506738
1142	0.968850511	2378882
1143	1.300232155	1640214
1144	2.530502102	963714
1145	1.254267245	1732559
1146	0.971958302	2231776
1147	1.3905375	1487065
1148	1.57371192	1444461
1149	1.555975071	1270412
1150	1.335783884	1959879
1151	1.145132281	1951709
1152	1.192652713	1798360
1153	1.124236727	2389551
1154	1.67939887	1740083
1155	1.235595267	1698702
1156	1.557686916	1529255
1157	1.243229629	2179643
1158	1.567927485	1719591
1159	1.978623469	1055402
1160	0.911722067	2631348
1161	1.290069792	1829887
1162	1.335708662	1470784
1163	1.161590015	1687219
1164	1.221336898	1832460
1165	1.191706354	1392483
1166	1.240087064	1597789
1167	1.023453729	2086088
1168	0.880308553	2461822
1169	1.493614924	1213710
1170	1.230166611	1655573
1171	0.848932923	2945671
1172	1.017338855	1907053
1173	1.248932264	1729054
1174	1.314564032	1599140
1175	1.538413281	1339812
1176	1.526587188	1277401
1177	0.888868832	2584941
1178	0.746258529	3161169
1179	1.506688936	1507482
1180	0.957356275	2370848
1181	1.08294778	2017786
1182	1.467592689	1550888
1183	1.301951855	1755954
1184	2.07667597	1028930
1185	1.416843988	1515593
1186	0.913541607	2536114
1187	1.286704096	1664963
1188	1.391958639	1701396
1189	2.507448771	948129
1190	1.604263789	1460721
1191	1.578052459	1469972
1192	1.674362474	1248522
1193	1.85681509	1164750
1194	1.391602991	1726228
1195	1.493365131	1497061
1196	1.795379823	1209678
1197	1.992237916	1008385
1198	1.012711477	3298989
1199	1.503508412	1464954
1200	1.852043776	1123812
1201	1.454822074	1413799
1202	1.618641053	1183176
1203	1.298199261	1695562
1204	1.99099836	852047
1205	1.323449958	1534395
1206	1.476299112	1364615
1207	1.370116378	1642517
1208	1.322009303	1338767
1209	1.384908282	1621423
1210	1.606205332	1364571
1211	1.301551376	1919409
1212	1.147281133	1706970
1213	1.317006504	1462842
1214	2.18999241	883698
1215	1.431991983	1547197
1216	1.125435782	2051467
1217	1.341212899	1587608
1218	1.186120807	2334623
1219	1.601773807	1492995
1220	1.403051334	1473273
1221	1.985848337	1009150
1222	1.368992837	1617495
1223	1.74409477	1458848
1224	1.828805305	1040569
1225	1.701872441	1159104
1226	1.76161845	1238216
1227	1.593350529	1412405
1228	1.754762905	1350636
1229	2.046270041	994087
1230	1.768798977	1169394
1231	1.474645833	1589231
1232	1.0710995	1958447
1233	1.225277777	1801354
1234	1.635999145	1119023
1235	1.282555589	1459729
1236	0.687757252	3215478
1237	0.885327501	2404796
1238	0.983575293	2379616
1239	1.273094787	1718563
1240	1.379901509	1458173
1241	1.422793636	1386168
1242	1.397022296	1502208
1243	1.473766524	1977204
1244	1.265081746	1695919
1245	1.023084016	2147730
1246	0.947689532	2663812
1247	1.183770952	1920426
1248	0.792218805	2747836
1249	0.806577958	2626229
