N	MeanD	Volume
132	3.666798056	2563054
133	5.171186856	1306585
134	4.236215521	2122055
135	4.178491223	1773889
136	2.903782089	3311490
137	4.848888889	1419993
138	3.503439564	2004935
139	2.89829208	1721476
140	3.243347349	2060414
141	3.491895464	1641872
142	3.171393143	2172105
143	3.455410933	1724933
144	3.300758949	2086249
145	4.015584609	1780340
146	2.615751756	3361337
147	3.509071091	1917479
148	3.502853922	1981331
149	2.975683005	2193764
150	1.781829163	6999843
151	2.355408256	4228254
152	3.507522029	2137048
153	3.460158989	2466088
154	4.918067621	1706348
155	3.464242712	2230714
156	4.335460313	1833271
157	4.753229495	1869253
158	5.803340925	1348478
159	4.956218397	1555349
160	3.827739487	2458531
161	4.47102227	1870699
162	4.122530459	1905775
163	5.617878034	1301476
164	4.382163743	1661683
165	4.418754405	1840701
166	4.359747749	1868002
167	4.349007996	1738021
168	6.400594278	1045091
169	4.935993792	1224823
170	4.424966416	1369893
171	4.893098758	1133941
172	5.712609917	1340731
173	5.060550083	1685193
174	5.771078274	1199795
175	4.132885646	2037912
176	3.598613113	2620474
177	5.091853739	1296947
178	4.63246153	1624361
179	3.914962109	2144067
180	4.095487048	2428944
181	4.434038371	2069715
182	2.400878178	6519721
183	4.622502271	1572764
184	4.28813851	1520379
185	4.107698931	2213504
186	2.786613444	2802388
187	4.165583878	1908856
188	4.411364071	1801077
189	3.774202716	2025266
190	3.770515855	1718807
191	4.588200821	1407449
192	3.085932922	3096825
193	3.662043909	2041718
194	4.251740075	1747524
195	3.615192482	2017603
196	3.824182549	2022283
197	4.90387558	1477225
198	4.343071192	1681142
199	3.674214865	2488883
200	4.532165626	1576571
201	4.04764551	1773418
202	2.735409332	3258094
203	2.791921531	3265323
204	3.063145709	2886784
205	3.847548058	2241089
206	2.264762719	4401298
207	1.909359488	5661385
208	2.795432839	2976109
209	3.352468005	2196897
210	3.396589616	2375197
211	3.286981747	2397220
212	3.077816855	2160185
213	2.929384811	2671201
214	4.276933816	1799372
215	4.498848848	1823526
216	1.954090593	5280121
217	3.188706625	2090670
218	3.30622441	2053221
219	3.57785243	2453544
220	2.781581625	2872600
221	3.623332386	1936835
222	3.631916643	2326876
223	4.462037182	2008123
224	4.712745099	1904534
225	3.776197571	1989702
226	3.236856546	2904582
227	4.164952751	2030748
228	5.201843403	1180264
229	4.78424867	1672603
230	4.354594949	1891452
231	7.273345231	1075538
232	1.861294652	5092012
233	2.153602374	3777584
234	2.384808424	4070771
235	3.253297812	3009150
236	3.25316888	2397304
237	2.505387086	4197194
238	3.911748899	2341297
239	2.507738094	3733200
240	3.259573733	2360428
241	3.492301833	2666780
242	3.095669298	2667192
243	3.496231759	2163744
244	3.531331738	1852694
245	4.088035896	2144245
246	4.201500633	1744401
247	3.589270508	3997800
248	5.482658704	1144164
249	4.594363083	1864878
250	4.445736913	1329287
251	4.865658146	1387561
252	5.901538879	1092555
253	7.105163072	975483
254	7.421578208	978563
255	8.140119636	462631
256	5.65465731	1418709
257	3.551208425	2071463
258	2.939677993	2860117
259	3.926703539	1952370
260	4.509856394	2009859
261	3.521812294	2278669
262	3.286695359	2240951
263	2.873875254	2577672
264	4.069293183	1902628
265	4.738656556	2055816
266	4.722262546	1737034
267	2.640640433	3233229
268	2.022187839	4701055
269	2.465571928	4569104
270	3.562531924	2220814
271	3.464491249	2000780
272	2.298565167	4255378
273	2.244925892	3950689
274	2.080981918	3257845
275	2.330805578	3473511
276	2.658323082	2647402
277	2.759832413	2712029
278	2.700173433	2393200
279	3.230915294	1967241
280	4.049900171	1533004
281	3.434161947	2456129
282	1.780862852	7548309
283	1.790131656	5677104
284	2.55787907	3901086
285	3.316280251	2542209
286	3.031093081	3155021
287	2.52581499	3775130
288	2.959880663	2619004
289	4.422770542	2006577
290	3.495494286	2819309
291	2.319600129	4516831
292	2.710436711	3232518
293	2.742474421	2214927
294	2.68839378	3060407
295	3.096796338	2229890
296	1.8557217	5136898
297	1.564385227	4906682
298	1.709755155	4275558
299	2.22442837	3098309
300	1.429738286	6333026
301	2.24466862	3440218
302	2.387621214	3375370
303	1.582688809	6449780
304	2.338572446	3667891
305	2.734357874	3259442
306	2.788280458	3338513
307	1.443796391	6442031
308	1.957363746	4338677
309	1.938073741	6224723
310	3.129553794	2781597
311	2.319914612	3995840
312	1.806426572	6276524
313	2.132935646	4387259
314	2.108327544	4718716
315	2.417158922	3185961
316	3.072036099	2338296
317	2.740427199	2501300
318	3.103965306	2710750
319	2.677846369	3167377
320	2.816611662	2624922
321	2.414226378	3542634
322	2.240441001	4006788
323	2.559990457	2171296
324	3.089484024	1890614
325	2.520393705	2559082
326	2.18892533	3412093
327	3.067357197	2780883
328	1.79375091	4693555
329	2.056001116	3578185
330	2.101546059	3987314
331	2.37199409	3256394
332	2.73585695	3257112
333	2.132587755	4154643
334	1.854875794	4002565
335	2.594358982	3101881
336	1.821475664	4501327
337	2.681556449	2674028
338	3.117928701	1945671
339	2.467543417	2942506
340	1.311232277	7939556
341	1.130744231	8227246
342	2.054622329	2678004
343	2.675532092	2631001
344	2.993680214	2723969
345	1.570753209	7014626
346	1.389314667	5915765
347	1.362897794	7324734
348	1.793956162	4576666
349	1.79368963	4590742
350	3.747251372	2094330
351	2.684475603	3567113
352	2.374892524	3228260
353	2.611921132	2479893
354	2.660911567	2736742
355	2.271806743	2873533
356	2.441368535	3251716
357	2.456548709	3459249
358	2.464710698	2792746
359	2.061966632	3641421
360	2.073395131	3803331
361	2.409471237	2896001
362	2.19994614	2861400
363	1.680991867	3921153
364	1.8320638	3504023
365	1.680860595	3876378
366	2.661283632	2680909
367	2.442296878	2315514
368	2.311693643	2893997
369	1.938886416	4010464
370	2.191987896	9344025
371	2.907667845	1985443
372	3.040547105	2154477
373	3.06658534	2101562
374	2.420477367	2445909
375	2.939417713	2158173
376	3.18209301	2005009
377	2.458162356	2974614
378	2.140219184	3329249
379	2.561113204	3013087
380	2.911343022	2302990
381	4.758314335	1047417
382	3.273004301	2324127
383	3.060056498	1866236
384	2.60853344	2463194
385	2.375065752	3066208
386	3.193240322	2160160
387	2.343379233	3117284
388	1.741939433	4996168
389	2.107434397	3824126
390	2.81928058	2208255
391	1.979429171	4736470
392	2.07328506	3847605
393	2.325777975	3069721
394	2.887982122	2193341
395	2.501679015	3688162
396	3.150432226	2178131
397	2.759282686	2388767
398	1.571466824	4281088
399	1.529141213	4409890
400	1.39669614	4082174
401	1.936966865	3262670
402	1.83515705	3797176
403	0.74768333	9865354
404	1.270156351	4586965
405	1.589167291	3886028
406	2.014274971	3447394
407	1.703736395	4769616
408	1.765941314	4332262
409	1.319565916	5518703
410	1.28800592	5334260
411	2.211415943	3035761
412	2.761550316	2384077
413	2.19570288	2738525
414	1.253425994	5095066
415	1.351264975	4848807
416	2.985226457	1830577
417	2.121720057	2691439
418	2.428289354	2488678
419	2.841354887	2252837
420	4.29295758	1252300
421	4.083911592	1387135
422	3.250320421	2019485
423	2.678980313	2975211
424	3.239839349	1743775
425	2.399141649	3014044
426	2.848990764	2409576
427	2.631826567	2080477
428	2.30461328	2500028
429	2.895289897	1880005
430	1.846688164	3499809
431	2.205873149	2920312
432	2.169514954	3330212
433	2.017827329	2909090
434	2.024744604	3374735
435	3.004292144	2113645
436	2.805413316	2215779
437	2.188666651	2903149
438	1.324002497	5173452
439	1.904974459	3726761
440	1.493877801	7856066
441	1.344982892	5698963
442	1.757032536	3639749
443	1.083013343	7856013
444	0.657199132	17060627
445	1.086425841	7121799
446	1.995771164	3622614
447	1.9049509	4003840
448	2.483424357	3073502
449	2.225598116	3233188
450	1.763804235	5119034
451	3.048594954	2184787
452	3.029403898	2004823
